Internal Flow Diameter ,External Flow Diameter ,Length              ,Pressure Drop
  0.05                 ,    1.0                ,3.754906820331596   ,149346685.5578321
  0.060000000000000005 ,    0.99               ,3.1762672481417207  , 64374654.3409502
  0.07                 ,    0.98               ,2.729755435516344   , 31487639.1669624
  0.08000000000000002  ,    0.97               ,2.375688878648164   , 16907274.28968796
  0.09000000000000001  ,    0.96               ,2.088825706169638   ,  9752859.795723667
  0.1                  ,    0.95               ,1.8523442395004064  ,  5954677.512719184
  0.11000000000000001  ,    0.94               ,1.6546027221634947  ,  3807313.4675036785
  0.12000000000000001  ,    0.9299999999999999 ,1.487288397889683   ,  2529150.8639698187
  0.13                 ,    0.9199999999999999 ,1.3443072816734085  ,  1735020.3949414378
  0.14                 ,    0.9099999999999999 ,1.2210904401339426  ,  1223384.40129823
  0.15000000000000002  ,    0.8999999999999999 ,1.1141452138147225  ,   883331.1917326748
  0.16000000000000003  ,    0.8899999999999999 ,1.0207560929230184  ,   651136.4629781838
  0.17000000000000004  ,    0.8799999999999999 ,0.9387800924798251  ,   488799.38084170886
  0.18000000000000005  ,    0.8699999999999999 ,0.8665035412110172  ,   372910.76790846605
  0.19                 ,    0.8599999999999999 ,0.8025398062832548  ,   288631.766037606
  0.2                  ,    0.8499999999999999 ,0.7457549246365098  ,   226314.33740309073
  0.21000000000000002  ,    0.8399999999999999 ,0.6952126448693832  ,   179541.52354545385
  0.22000000000000003  ,    0.8299999999999998 ,0.6501332164606513  ,   143957.42955049954
  0.23000000000000004  ,    0.8199999999999998 ,0.6098620758720393  ,   116550.2030939169
  0.24000000000000005  ,    0.8099999999999998 ,0.5738457641960699  ,    95202.1387141357
  0.25000000000000006  ,    0.7999999999999998 ,0.5416132010019316  ,    78401.28752510069
  0.26000000000000006  ,    0.7899999999999998 ,0.5127609750417249  ,    65052.955750859954
  0.27                 ,    0.7799999999999998 ,0.4869416821091552  ,    54354.27615607476
  0.28                 ,    0.7699999999999998 ,0.4638545990670878  ,    45709.368884096206
  0.29000000000000004  ,    0.7599999999999998 ,0.44323816666621235 ,    38671.08296988291
  0.30000000000000004  ,    0.7499999999999998 ,0.42486388574824147 ,    32900.42749174941
  0.31000000000000005  ,    0.7399999999999998 ,0.40853132741959286 ,    28137.952322488654
  0.32000000000000006  ,    0.7299999999999998 ,0.394064028387336   ,    24183.31365675267
  0.33                 ,    0.7199999999999998 ,0.3813060951338995  ,    20880.51845052328
  0.34                 ,    0.7099999999999997 ,0.3701193800201681  ,    18107.156866040306
  0.35000000000000003  ,    0.6999999999999997 ,0.360381122302821   ,    15766.467035912085
  0.36000000000000004  ,    0.6899999999999997 ,0.35198196996652603 ,    13781.43274450594
  0.37000000000000005  ,    0.6799999999999997 ,0.34482431604046365 ,    12090.354816721052
  0.38000000000000006  ,    0.6699999999999997 ,0.338820897046614   ,    10643.500868063786
  0.39000000000000007  ,    0.6599999999999997 ,0.33389361244532184 ,     9400.551118603411
  0.4000000000000001   ,    0.6499999999999997 ,0.32997253322929304 ,     8328.636791688072
  0.4100000000000001   ,    0.6399999999999997 ,0.3269950759020114  ,     7400.823120860809
  0.42000000000000004  ,    0.6299999999999997 ,0.32490532571950365 ,     6594.928442236496
  0.43000000000000005  ,    0.6199999999999997 ,0.3236535012487756  ,     5892.59914655501
  0.44000000000000006  ,    0.6099999999999997 ,0.32319556254703297 ,     5278.580732686929
